artist,release,label,review
Folk And Pop Sounds Of Sumatra,Vol. 2,Sublime Frequencies,"‘From the 1960s through the 1980s, from the infectious trance beat of Dangdut music, featuring rabab (violin) or saluang (flute), to the highly-refined and glorious Orkes Gambus (orchestral Arab music with ouds), said to have been brought to the island by Islamic settlers from Yemen, the seventeen tracks here will instantly convince the listener of the expressive beauty and diversity this wondrous island has to offer to the world music theatre. Most of the musicians on this release are Minangkabau or Minang people who are devout followers of Islam as well as the world’s largest matrilineal society. The other styles present are Sitogol (storytelling in vocal style), pop Minang music with talempong (small, rounded gongs played with mallets), Tari and traditional Minang music for ceremony and dance… and one brilliant track of Western pop. Keep in mind that this is NOT a document for the mere purpose of preservation, although it may serve as such. This is among the very best music you’ve never heard and you need to hear it NOW!’"
Folk Music of the Sahel,Vol. 1: Niger,Sublime Frequencies,NA
Brigitte Fontaine,Devaste-Moi,Jacques Canetti Productions,"Her debut album, thirteen ‘chansons décadentes et fantasmagoriques’, originally released in 1966."
Brigitte Fontaine,Chansons D'Avant De Deluge,Jacques Canetti Productions,"Her 1967 album of duets with Jacques Higelin, retaining arranger Jimmy Walter from her debut, the previous year. Two songs here — La Grippe and Maman — became centrepieces of the duo’s stage musical, Maman J’ai Peur."
Forest Music,"Northern Belgian Congo, 1952",SWP,"Two Mangbetu communities from the rainforest, the Mayogo and the Meje: drum ensembles, mass singing, likembe. Also the xylophone and kundi harp of the Azande people; more harp songs by the Balendu."
Forgotten Guitars From Mozambique,"Portuguese East Africa, 1955, '56, '57",SWP,"The roots of marrabenta — compelling guitar-playing, and gritty songs about everyday issues, like having kids, sleeping around, snobbery and the supernatural."
France,Basque Country,Ocora,"‘Wild songs’ (without words), sophisticated choral singing, improvisations, pastorals and newer song forms."
France,Songs Of Central Brittany,Ocora,"Erik Marchand singing, with his accompanist Thierry Robin finding the ud better suited than guitar or mandolin to the intervalic arrangements of quarter tones peculiar to this repertoire."
Francis Bebey,African Electronic Music 1976-1982,Born Bad,NA
Francis Bebey,Psychedelic Sanza 1982-1984,Born Bad,NA
Francis The Great,Ravissante Baby,Hot Casa,"Bit of a mind-bender, from Paris. Hypnotic, grooving highlife and hard, nervy funk from 1977 — featuring stellar musicians like bassist Victor Edimo and guitarist Toto Guillaume — trippily fronted by the seven-year-old Cameroonian, Francis Mbarga (singing and deliberating in top-set spoken English)."
Francisco,Biguine Lele,Les Mains Noires,NA
Franco,Micorasson,His Master's Voice,NA
Franco Et Le Tout-Puissant OK Jazz,Francophonic 2,Stern's,"Reviewing the eighties (up till his death in 1989), including big hits like Mario, with no let-up in quality since the early fifties."
Frank Holder,Battle Of The Century,Decca,"Better than very good, but some scratches and serious scuffs."
Frank Holder,Watermelon,PYE Nixa,"A superior ‘very good’; with numerous markings, but shiny and eminently listenable."
French Disco Boogie Sounds,Volume 2,Favorite,NA
Fruko,Tesura,Vampisoul,NA
Gabi Lunca,Sounds From A Bygone Age,Asphalt Tango,"The fifth in this unmissable series showcases the traditional Rumanian music of the great Gypsy diva, from the 1960s and 70s. Refined and full of yearning."
Gabon,Music Of The Bibyak Pygmies,Ocora,"Polyphonic song — a kind of broken, yodelling counterpoint — accompanied by drums, sticks, sanza, vegetal trumpets, hand-clapping."
Gaby Lita Bembo and Orchestre Stukas du Zaïre,Kita Mata ABC,RetroAfric,NA
"Gamelan Of Peliatan, 1952",Dancers Of Bali,World Arbiter,"Gong, angklung and gender wayang under the direction of Anak Agung Gede Mandera."
Abba Gargando,,Sahelsounds,"Sparse, rough, Tuareg guitar music from Timbuktu. Originals and classics; bad-ass wedding-electrifiers and fireside, refugee contemplation. Recorded and gathered via cellphones. Limited edition; handmade covers."
Garoto,Baiao Cacula,Parlophone,"Pretty much mint. In a printed Parlophone sleeve, neatly numbered in biro top right."
Gasper Lawal,Ajomase,Cap,Original copies in mint condition.
Gasper Nali,Zoona Malawi,Mississippi,NA
Awalom Gebremariam,Desdes,Awesome Tapes From Africa,NA
Asnake Gebreyes,Ahadu,Buda Music,NA
General Franco Lee Ezute,Onye Kata Obia,Bongo Joe,"Deliriously swinging, ceaselessly creative, effervescent highlife from Nigeria, late in its second coming, with deeper, stronger basslines than before, tougher rhythm sections, and busier, more in-your-face percussion.
The Harmony Kings International Band released its eponymous first album on Ekimogun Records, out of Benin City, in 1977. Issued in 1989 on the tiny G-E-T label, Onye Kata Obia is the General’s tribute to Ali Chukwuma — a spearhead of the new Anioma sound — who had died three years earlier. 
Fabulous, exhilarating music."
George Browne,Sound Barrier,Columbia,Mint.
George Browne,Trinidad,Parlophone,"Worn, with light scratches, scuffs, small edge-chip."
George Browne,Emmeline,Parlophone,An edge-chip within the run-in; some scuffs; basically very good indeed.
George Browne,Woman Is A Man's Best Friend,Parlophone,"A bit worn, but very sound. The label is stickered, and there is light damage from a previous sticker."
George Browne,"Matilda, Matilda!",Parlophone, Mint.
George Browne,Calypso Mambo,Parlophone,Mint.
George Browne,A Little More Oil In Your Lamp,Parlophone,"Worn, scratched."
George Browne,The Ballad Of Davy Crockett,Melodisc,Excellent.
George Browne,Sir Winston - Not Out,Melodisc,Excellent.
George Browne,"He Like It, She Like It",Melodisc,Pretty much mint.
George Mukabi,Furaha Wenye Gita,Mississippi,NA
George Williams Aingo and Daniel H. Acquaah,Bir A David Dzi Hin,Zonophone,Mint.
Georgia,Ensemble Basia,Ocora,Sacred and secular vocal polyphony.
Gerardo Iacoucci,Simbolismo Psichedelico,Intervallo,"The excellent Soundohm crew in Milan launches a mouth-watering new imprint with perhaps the most celebrated of all GI’s wonderful library recordings, originally released in 1970 by the small label Deneb (home to other heavyweights like Alessandro Alessandroni and Amedeo Tommasi). 
Eleven hallucinatory tests of the ‘expressive urge’ — with the unsettling Fantasmi Lunari, the avant-garde drive of the sketches Ipnosi and Inibizione, and the free-spirited Psicopatologia amongst the highlights.
In an edition of 300 copies, this is the first-ever reissue on vinyl, with remastered sound. Great sleeve."
Germany,Music From Bavaria,Ocora,"From King’s Lake to the Lake of Constance — yodels and three-part mountain songs; zither, accordion, clarinet, dulcimer, harp, ocarina… "
Ghana Soundz,1,Soundway,NA
Ghetto Brothers,Power - Fuerza,Everland,"A legendary LP of funky Latin rock from late-sixties New York. The Ghetto Brothers were a bunch of Puerto Rican gang-bangers and political activists in the Bronx. The story goes that they hooked up with producer Bobby Marin after repeatedly robbing the shop where he worked, Mary Lou Records."
Ali Reza Ghorbani,Songs Of Rebirth: Tribute To Rumi,Accords Croises,NA
John Gibbs & The U.S. Steel Orchestra,Trinidad,EM,"The original 12” — released in 1977 on Gibbs’ own label — is a bonafide garage classic, rinsed by the likes of Larry Levan. Steel-pan disco bliss.
Here is the previously unissued long version which was the basis of the 1977 remix 12”. It’s around a minute longer and the mix itself is very different."
John Gibbs & The U.S. Steel Orchestra,Steel Funk,EM,NA
Joao Gilberto,,Polydor,"Wonderful — a desert island disc. 
Voice and guitar only, with a little percussion.
Back in, at last. 
Genius… Hotly recommended."
Joao Gilberto,Chega De Saudade,Doxy,"Introducing the bossa nova in 1959, the original LP plus extras. Appearing effortlessly cultured and crafted, as natural as breath. "
Joao Gilberto,A Compilation,El,NA
Astrud Gilberto And The Walter Wanderley Trio,"A Certain Smile, A Certain Sadness",Rev-Ola,NA
Ginger Johnson & His African Messengers,African Party,Freestyle,"Like Ambrose Campbell, GJ came to the UK from Nigeria after the Second World War, as a sailor. His early singles are a mainstay of our series London Is The Place For Me — an energetic mix of highlife, jazz and exotica. 
George became firmly ensconced in the London scene. His Club Iroko — in Haverstock Hill, north London — was a creative hub for groups like Osibisa, and a home-away to the likes of Fela, Funkadelic and Sun Ra. He worked widely as a session musician (stuff from Georgie Fame to Quincy Jones), and that’s him on the soundtrack of Live And Let Die. The African Messengers collaborated with Hawkwind and The Rolling Stones; three members of Cymande came through the ranks: African Party is their only LP, from 1967."
Ginger Johnson & His African Messengers,Talking Drum,Freestyle,NA
Give Me Love,"Songs Of The Brokenhearted, Baghdad, 1925-1929",Honest Jon's Records,"‘Beautiful, haunting… spiritual reflection is sung with carnal force, songs of romance are rendered like hymns. For a few moments, on these ancient records, Baghdad sounds like paradise’ (Rolling Stone)."
Gnawa Home Songs,,Accords Croises,"Old masters Hamid Kasri and Amida Boussou join forces with young stars such as Hassan Boussou, founder of the band Sewarye."
Goombay,Music From The Bahamas,Bongo Joe,"Terrific selection of this irresistible combination of Trinidadian calypso, Jamaican mento, rhythm and blues, even a dash of merengue, from just off the bottom of Florida. Jump-up and feel-good party music about drinking, sex, dancing and impersonating the military, featuring luminaries like Blind Blake and George Symonette. Light Of Saba fans will recognise Sly Mongoose. In lovely silk-screened sleeves, another triumph from our Swiss friends Bongo Joe."
Ahallil De Gourara,Sacred Songs From The Sahara,Institut Du Monde Arabe,NA
Gozalo!,Bugalu Tropical Vol.1,Vampisoul,NA
Gozalo!,Bugalu Tropical Vol.2,Vampisoul,NA
Gozalo!,Bugalu Tropical Vol.4,Vampisoul,"Further excavations amidst the tropical Peruvian music of the 1960s, careering between the mambo era just over, and the salsa and cumbia upheaval to come."
Rene Grand and His Combo New York,Exciting And Grand,Seeco,NA
Rene Grand and His Combo New York,El Gran,Seeco,NA
Grands Cantaores Du Flamenco,Tio Gregorio El Borrico,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Pepe Marchena,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Manuel El Agujeta,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Manolo Caracol,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Terremoto De Jerez,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,La Nina De Los Peines,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,El Nino De Almaden,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,La Paquera De Jerez,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Canalejas De Puerto Real,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Porrina De Badajoz,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Tia Anica La Pirinaca,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Rafael Romero,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Beni De Cadiz,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Manuel Soto El Sordera,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Camaron De La Isla,Le Chant Du Monde,"A Romani, born in 1950. (Pasty, weedy and blonde, so he was named ‘Shrimp Of The Isla’.)
He was busking for his family by the time he was eight; nineteen when he made his first LP, with Paco De Lucia; dead at forty-two, from fags, whisky and drugs. 
Generally reckoned the greatest flamenco singer of all time, and a special favourite of Miles Davis.
(Cameron’s dad was a blacksmith, and taught him to sing: that’s an anvil on Las Doce Acaban De Dar.)"
Grands Cantaores Du Flamenco,La Perla De Cadiz,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Pepe Pinto,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Curro De Utrera,Le Chant Du Monde,NA
Grands Cantaores Du Flamenco,Jarrito Roque Montoya,Le Chant Du Monde,NA
Greece,Great Octotonal Chant To The Virgin,Ocora,"The Theodore Vassilikos Ensemble powerfully performing Petros Bereketis — extended variations on eight modes —  the most important composer of the golden age of Byzantine music, an eastward Bach."
Greece,Traditional Songs,Ocora,"Stirring, beautiful historical recordings of paralogues — deep, traditional melodies — drawn from folklore, everyday life and classical mythology: solo voice, or choral, or with clarinet, ud, lyre, violins."
Greece,En Chordais - Music Of Asia Minor And Constantinople,Ocora,NA
Greek Rhapsody,"Instrumental Music From Greece, 1905-1956",Dust To Digital,NA
Tony Grey,Time Factor,Voodoo Funk,Ka-boom! The legendary digger re-ignites the Lagos Disco Inferno and kicks off his very own mouth-watering imprint with two sides of boogie-down bliss.
Griots Of Mauritania,"Hodh Occidental, Trarza",Collection Prophet,NA
Group Bombino,Guitars From Agadez Vol. 2,Sublime Frequencies,"One side ‘dry’, unplugged guitar; the other the electric fury of the full band, Omara Mochtar’s heavy, psychedelic guitarism in with raw garage, backbeat percussion, swirling together in a kind of trance rock."
Group Doueh,Treeg Salaam,Sublime Frequencies,"‘Compiled from Group Doueh’s personal archives, these five tracks (the last a side-long), are as brain shifting in their ecstatic brilliance as any music ever heard.’"
Group Doueh,Beatte Harab,Sublime Frequencies,"A cosmic take on Saharoui roots: traditional Moorish instruments like the three-string tinidit  lute, ardin harp, clay tbal drum, and tea glasses, together with guitar and Korg synth, and Halima’s exalted singing."
Group Inerane,Guitars From Agadez Vol. 3,Sublime Frequencies,‘Saharan trance stun guitar… a hypnotic choogle that rivals both the Magic Band’s early 70s marathon workouts and the Velvet Underground’s drone on tracks like Sister Ray.’
Grupo Naidy,Arriba Suena Marimba,Folkways,Gorgeous currulao from the Pacific coast of Colombia.
Grupo Pilon,Leite Quente Funana De Cabo Verde,Ostinato Records,NA
Guarapo!,Forty Bangers From Barranquilla,Honest Jon's Records,"Rough, tough, tumping, bumping soundboy breakbeat from the Caribbean coast of Colombia.
Forty brand new buckaroos, tooled and primed by Jeanpi Perreo, Edwin Producciones and DJ Ander — all from local sound-systems — careering guarapo-style out of punches of vintage Nigerian highlife, waka and co, by legends like Steven Amechi, Sagbeni Aragbada and Cardinal Rex Jim Lawson.
Edited and mastered by CGB at D&M for maximum oomph and worries, and presented in a gatefold sleeve with cool and deadly varnishing. Plus a full-size booklet detailing the fascinating history of this music, seamed into the strange, tentacular byways of hand-to-hand vinyl distribution, record collecting and musical connoisseurship, and the soundclash traditions of the region, suffused with the politics and culture of the Black Atlantic, stretching back to the 1950s. 
Bim, bim, bim."
